tx_id,timestamp,direction,peer_address,amount_sompi,cex_label
4cb76bdc9e82c9ed17ee336d1a883dd8a935e571de7ea4804f534e9be02d1f74,2025-05-15T14:57:36.988000,sent,kaspa:qz8km5mvw220mj6hu6n5ac7ylvmugkxeurtl6s4gd4z8xpxgdvmkjuf9w269t,164615145272,
4cb76bdc9e82c9ed17ee336d1a883dd8a935e571de7ea4804f534e9be02d1f74,2025-05-15T14:57:36.988000,sent,kaspa:qz8km5mvw220mj6hu6n5ac7ylvmugkxeurtl6s4gd4z8xpxgdvmkjuf9w269t,164615145272,
4cb76bdc9e82c9ed17ee336d1a883dd8a935e571de7ea4804f534e9be02d1f74,2025-05-15T14:57:36.988000,sent,kaspa:qz8km5mvw220mj6hu6n5ac7ylvmugkxeurtl6s4gd4z8xpxgdvmkjuf9w269t,164615145272,
4cb76bdc9e82c9ed17ee336d1a883dd8a935e571de7ea4804f534e9be02d1f74,2025-05-15T14:57:36.988000,sent,kaspa:qz8km5mvw220mj6hu6n5ac7ylvmugkxeurtl6s4gd4z8xpxgdvmkjuf9w269t,164615145272,
4cb76bdc9e82c9ed17ee336d1a883dd8a935e571de7ea4804f534e9be02d1f74,2025-05-15T14:57:36.988000,sent,kaspa:qz8km5mvw220mj6hu6n5ac7ylvmugkxeurtl6s4gd4z8xpxgdvmkjuf9w269t,164615145272,
4cb76bdc9e82c9ed17ee336d1a883dd8a935e571de7ea4804f534e9be02d1f74,2025-05-15T14:57:36.988000,sent,kaspa:qz8km5mvw220mj6hu6n5ac7ylvmugkxeurtl6s4gd4z8xpxgdvmkjuf9w269t,164615145272,
4cb76bdc9e82c9ed17ee336d1a883dd8a935e571de7ea4804f534e9be02d1f74,2025-05-15T14:57:36.988000,sent,kaspa:qz8km5mvw220mj6hu6n5ac7ylvmugkxeurtl6s4gd4z8xpxgdvmkjuf9w269t,164615145272,
6402ef6e9fdd7ba3d2e5b6a41ef43ca7f1185bfe4c2efd7a7d3733d99449216e,2025-03-31T16:43:43.627000,received,kaspa:qq3wrlkeustmu5uuh6r3mrmkly88x3mg4wajc7ktxmqfnqptkfxaqgu47jq8n,3441045335,
6402ef6e9fdd7ba3d2e5b6a41ef43ca7f1185bfe4c2efd7a7d3733d99449216e,2025-03-31T16:43:43.627000,received,kaspa:qpgqlempmc7cq70e6thcahjvv6w8j6pexfult5n470ptvvxr8gec2re6jd38r,3441045335,
4855fd24ec1204ca859d93c27935847c87bdbc58c9b8dba4f918cd745fff6322,2025-03-31T13:57:22.170000,sent,kaspa:qq288lly6hqdeqd7ta2st22rvcshzussxjqewpg052thmvukpq3j27srxdkr5,61354735000,
