tx_id,timestamp,direction,peer_address,amount_sompi,cex_label
c2e6315815de519b3177dade8a29a5068aba9d15a9eb55aef06f488860ade732,2023-11-08T23:37:09.938000,sent,kaspa:qqwvnkp47wsj6n4hkdlgj8dsauyx0xvefunnwvvsmpq2udd0ka8ckmpuqw3k5,954699900000,
c2e6315815de519b3177dade8a29a5068aba9d15a9eb55aef06f488860ade732,2023-11-08T23:37:09.938000,sent,kaspa:qqwvnkp47wsj6n4hkdlgj8dsauyx0xvefunnwvvsmpq2udd0ka8ckmpuqw3k5,954699900000,
242e72f2a90f5da55eac002a72d30f773b1579b95151456401ac2939bfd15717,2023-11-08T23:22:06.400000,received,kaspa:qrrdtr6qayjuang0uu0veqp8p70wp5u4jtaawx0wpc5tcx6tegn4qxps8sqc5,954200000000,
242e72f2a90f5da55eac002a72d30f773b1579b95151456401ac2939bfd15717,2023-11-08T23:22:06.400000,received,kaspa:qrrdtr6qayjuang0uu0veqp8p70wp5u4jtaawx0wpc5tcx6tegn4qxps8sqc5,954200000000,
242e72f2a90f5da55eac002a72d30f773b1579b95151456401ac2939bfd15717,2023-11-08T23:22:06.400000,received,kaspa:qrrdtr6qayjuang0uu0veqp8p70wp5u4jtaawx0wpc5tcx6tegn4qxps8sqc5,954200000000,
242e72f2a90f5da55eac002a72d30f773b1579b95151456401ac2939bfd15717,2023-11-08T23:22:06.400000,received,kaspa:qrrdtr6qayjuang0uu0veqp8p70wp5u4jtaawx0wpc5tcx6tegn4qxps8sqc5,954200000000,
242e72f2a90f5da55eac002a72d30f773b1579b95151456401ac2939bfd15717,2023-11-08T23:22:06.400000,received,kaspa:qrrdtr6qayjuang0uu0veqp8p70wp5u4jtaawx0wpc5tcx6tegn4qxps8sqc5,954200000000,
242e72f2a90f5da55eac002a72d30f773b1579b95151456401ac2939bfd15717,2023-11-08T23:22:06.400000,received,kaspa:qrp6gchfd49ccw7q2207r5mc0wxn03v7y6p2z63942f2px5vhenavjceee0az,954200000000,
242e72f2a90f5da55eac002a72d30f773b1579b95151456401ac2939bfd15717,2023-11-08T23:22:06.400000,received,kaspa:qpmnud4r6r72ymx8al9qsxtq7xgd2wqyvlw3nsqj4xc75gpaczsu2agg0yugd,954200000000,
02222b0d1bb5491362003d7760b5ecaa39b6a03b043ec520459ace3f3fedbb36,2023-11-08T23:20:19.548000,received,kaspa:qrrdtr6qayjuang0uu0veqp8p70wp5u4jtaawx0wpc5tcx6tegn4qxps8sqc5,500000000,
